ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant
W05F2.6a	2	7	0	6	0	0	0.0536512675259306	3309.08254473529	3434.49613985578	0.891261466128476	655.578072760435	1216.81918122969	0
W06H8.6	1	1	1	4	0	0	1.89956373317129	158.223051423802	593.061770232056	-1.19871589732343	733.615495881327	319.04470301297	0
W06H8.6	2	4	1	5	0	0	0.0704265589198929	593.061770232056	622.780956190612	1.25713061305202	319.04470301297	763.970463276602	0
W06H8.6	1	4	0	9	0	0	-0.673692747857171	478.966964806875	299.891293836491	0.531216820437328	361.891559872081	523.431856150587	0
W09B6.5	2	1	1	4	1	1	1.38374328950877	3.62342865856036	11.0645852655234	1.75739266482684	9.71676153485201	35.2319303940703	0
W09B6.5	1	3	1	5	1	1	-0.793696559331737	11.0645852655234	5.95962637502978	-2.26660464758617	35.2319303940703	6.5296620792872	0
W09B6.5	2	2	1	8	1	1	0.437242887721982	3.94971735849091	5.70198767627232	-0.0984727503371454	22.1535891246862	20.6259438269062	0
W09B6.5	1	3	0	10	1	1	-1.39662724190897	5.2921993029969	1.38987825494234	0.0633467040954914	15.5378658597577	16.280198344452	0
W09H1.2	2	1	1	10	0	0	0.903270066287015	1.7640664343323	4.16963476482702	-0.655299168207605	68.9492797526748	43.4138622518721	0
W09H1.2	1	2	0	11	0	0	-1.09842469922334	4.16963476482702	1.4143547269675	-0.523262682867445	43.4138622518721	29.9030096942236	0
W10D5.1	2	1	1	4	0	0	0.354332449967985	228.276005489303	292.105051009819	0.466826441916885	409.723444719593	566.646880504631	0
W10D5.1	1	3	1	5	0	0	0.242096597177738	292.105051009819	345.658329751727	-0.438393461765534	566.646880504631	417.898373074381	0
W10D5.1	2	1	1	8	0	0	-0.0801949291173738	227.108748113227	214.774869139591	-0.731944676457097	600.160869014225	360.954016970858	0
W10D5.1	1	3	1	9	0	0	-0.0944320157561398	214.774869139591	201.103573513882	0.505258863337923	360.954016970858	512.749573372004	0
W10D5.1	2	1	0	12	0	0	-0.0549262325880271	264.484333942922	254.56681180876	0.500135988484287	568.157184190248	803.98568340618	0
Y102A5C.3	2	1	1	3	0	0	NA	NA	NA	0.866457065810529	375.283010264889	685.031688207067	0
Y102A5C.3	1	1	1	4	0	0	NA	NA	NA	-0.917884640901505	685.031688207067	362.105951272389	0
Y102A5C.3	2	1	1	5	0	0	NA	NA	NA	0.399548528356334	362.105951272389	477.971264203823	0
Y102A5C.3	1	4	1	6	0	0	NA	NA	NA	-0.508028276149199	477.971264203823	335.80436319207	0
Y102A5C.3	2	2	1	10	0	0	NA	NA	NA	0.0358633407490725	496.240590896011	508.756198264127	0
Y102A5C.3	1	1	0	12	0	0	NA	NA	NA	-0.403126288788757	368.803786228757	278.652205254364	0
Y102A5C.6	2	4	0	9	0	0	NA	NA	NA	0.375857914360513	492.210023142079	638.994733482535	0
Y108G3AL.7f	2	2	0	11	0	0	0.764747236582409	2240.48374696705	3807.44292499651	-0.029633294370937	352.737630796461	345.545889799917	0
Y110A7A.20	2	1	1	4	0	0	-0.103957321194406	4.83123821141381	4.42583410620937	0.59421221165312	17.8140628138954	27.4026125287214	0
Y110A7A.20	1	8	0	5	0	0	-0.44714422594885	4.42583410620937	2.97981318751489	-1.15514265739802	27.4026125287214	11.753391742717	0
Y20F4.4a	2	1	1	10	1	-1	-0.813132359424317	379.274283381445	215.431129516063	-0.243997146617961	4502.09663286479	3801.42631342955	0
Y20F4.4a	1	2	0	11	1	-1	1.0986426313109	215.431129516063	462.493995718372	-0.0898859784322941	3801.42631342955	3571.74838014337	0
Y22F5A.3b	2	5	1	6	0	0	0.0921091896483155	286.06206600143	304.987323716843	1.25602647566029	202.419524457903	484.84113112563	0
Y22F5A.3b	1	2	0	11	0	0	-0.385237311937103	240.448938105025	183.866114505775	0.178703148826079	162.80198344452	184.401893114379	0
Y2H9A.3	1	3	1	1	1	-1	1.2700384510326	6.29694206993196	16.5978887488973	-0.685091379913207	57.204395694338	35.2011802129048	0
